20160218:130600665;1,43689
20160218:130600975;1,43689
20160218:130601331;1,43689
20160218:130601684;1,43689
20160218:130602006;1,43689
20160218:130602318;1,43688
20160218:130602622;1,43688
20160218:130602917;1,43688
20160218:130603228;1,43688
20160218:130603548;1,43689
20160218:130603854;1,43689
20160218:130604185;1,43689
20160218:130604502;1,43689
20160218:130604810;1,43689
20160218:130605117;1,43689
20160218:130605422;1,43689
20160218:130605735;1,43689
20160218:130606051;1,43705
20160218:130606381;1,43705
20160218:130606691;1,43705
20160218:130606976;1,43705
20160218:130607318;1,43705
20160218:130607651;1,436
20160218:130607953;1,436
20160218:130608259;1,436
20160218:130608562;1,436
20160218:130608872;1,43693
20160218:130609187;1,43693
20160218:130609496;1,43693
20160218:130609809;1,43693
20160218:130610125;1,43693
20160218:130610489;1,43693
20160218:130610848;1,43693
20160218:130611148;1,43693
20160218:130611466;1,43693
20160218:130611790;1,43693
20160218:130612166;1,43689
20160218:130612494;1,43689
20160218:130612816;1,43689
20160218:130613144;1,43689
20160218:130613444;1,43689
20160218:130613768;1,43689
20160218:130614094;1,43689
20160218:130614436;1,43689
20160218:130614743;1,43689
20160218:130615072;1,43689
20160218:130615395;1,43689
20160218:130615708;1,43689
20160218:130616057;1,43689
20160218:130616362;1,43689
20160218:130616669;1,43689
20160218:130616967;1,43689
20160218:130617308;1,43689
20160218:130617606;1,43689
20160218:130617914;1,43689
20160218:130618226;1,43689
20160218:130618538;1,43689
20160218:130618883;1,43689
20160218:130619218;1,43689
